hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
5588,N/A,51.4933,5.640,2.081,F1III-IV,"rgb(248, 223, 0)",3.925314756459657,0.6853093483270938,Boo
5555,N/A,151.5152,6.200,0.298,B9V,"rgb(201, 195, 0)",3.9266831237139326,-1.3095671189987161,Aps
5547,N/A,233.6449,5.920,-0.923,G8II,"rgb(255, 207, 192)",3.9278147675254433,-1.3467056512414761,Aps
5597,N/A,169.7793,6.350,0.201,B9p SiSrCr,"rgb(191, 187, 0)",3.9298066572977604,0.8251470131043412,Boo
5592,N/A,240.9639,6.290,-0.620,K0,"rgb(255, 203, 182)",3.9307925031046134,0.3847681059808988,Boo
5586,N/A,90.0090,4.910,0.139,B9.5V,"rgb(211, 201, 0)",3.931234072716755,-0.14868360623206875,Lib
5585,N/A,119.7605,5.880,0.488,K2/K3III,"rgb(255, 201, 177)",3.9323061874528142,-0.6642443550165426,Cen
5590,N/A,227.7904,5.520,-1.268,M0III,"rgb(255, 3, 131)",3.9327959696399315,-0.04808253823481,Lib
5608,N/A,105.7082,5.910,0.789,A4V,"rgb(223, 208, 0)",3.9333250268275903,1.0507659315090887,Dra
5594,N/A,704.2254,5.710,-3.529,M2III,"rgb(255, 192, 160)",3.934911634616721,-0.00244861259059,Vir
5525,N/A,120.7729,5.650,0.240,G8/K0III,"rgb(255, 209, 200)",3.9350422461553247,-1.4525964519502037,Oct
5602,N/A,69.0608,3.490,-0.706,G8III,"rgb(255, 209, 200)",3.935482540667879,0.7049483564526262,Boo
5587,N/A,128.0410,6.210,0.673,A8/A9III/IV,"rgb(237, 217, 0)",3.935578193236999,-0.599675488442395,Cen
5591,N/A,101.7294,5.830,0.793,A4IV,"rgb(229, 212, 0)",3.9361849257132153,-0.48975005225966245,Hya
5600,N/A,113.8952,4.800,-0.483,K4III,"rgb(255, 192, 160)",3.9361907845633617,0.43647435232983,Boo
5599,N/A,97.1817,6.600,1.662,A5m,"rgb(233, 214, 0)",3.938980420785557,-0.05290769792461875,Lib
5601,N/A,59.9161,4.390,0.502,K0III,"rgb(255, 207, 195)",3.939647165382449,0.036500117930287505,Vir
5595,N/A,118.9061,5.450,0.074,B3V,"rgb(186, 184, 0)",3.940028285033802,-0.5697329550007287,Lup
5609,N/A,85.8369,5.520,0.852,G8III:,"rgb(255, 207, 195)",3.940521496273178,0.61445704551713,Boo
5612,N/A,55.6483,6.590,2.863,F6IV,"rgb(255, 225, 249)",3.9405591477250663,0.7791938366453175,Boo
5613,N/A,151.9757,6.590,0.681,G8III-IV,"rgb(255, 208, 195)",3.942734637991593,0.6032863385036062,Boo
5618,N/A,12.5078,4.830,4.344,G2V + G2V,"rgb(255, 219, 229)",3.9435297931769995,0.8317202494574713,Boo
5629,N/A,151.0574,6.220,0.324,A2Vs,"rgb(217, 205, 0)",3.9442802139906843,1.1505160437249926,UMi
5603,N/A,88.4173,3.250,-1.483,M3/M4III,"rgb(255, 2, 136)",3.9447509890369923,-0.44125352380328875,Lib
5610,N/A,75.7576,7.150,2.753,F0,"rgb(244, 221, 0)",3.9449122846274087,0.09586801099890249,Vir
5616,N/A,75.4148,4.520,0.133,K2III,"rgb(255, 201, 178)",3.9463897277187483,0.4703251962561925,Boo
5604,N/A,185.1852,6.290,-0.048,M6III,"rgb(255, 196, 167)",3.947563789681406,-0.7131647467683913,Lup
5545,N/A,598.8024,5.650,-3.236,G8Ib,"rgb(255, 200, 175)",3.9478589900566456,-1.4492919367341224,Oct
5593,N/A,84.6024,5.160,0.523,G8III,"rgb(255, 210, 202)",3.9479427129896,-1.1175578812712688,Cir
5605,N/A,135.8696,3.910,-1.756,B5,"rgb(183, 182, 0)",3.949323173768201,-0.8211991435114612,Lup
