hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
4846,NaN,12.752174,45.440256,320.5128,5.420,-2.109,C7Iab,2.994,CVn
4847,NaN,12.760294,7.673326,77.4593,5.220,0.775,A8m,0.322,Vir
4842,NaN,12.760550,-60.981318,36.8053,4.690,1.860,K1III,1.049,Cru
4844,NaN,12.771346,-68.108119,104.7120,3.040,-2.060,B2V,-0.178,Mus
4849,NaN,12.772928,9.539684,45.1467,5.650,2.377,K1III-IV,0.989,Vir
4848,NaN,12.772981,-56.488815,117.9245,4.620,-0.738,B3V,-0.150,Cru
4851,NaN,12.777433,16.577691,104.1667,5.120,0.031,K3III,1.346,Com
4850,NaN,12.779508,-33.315483,108.9325,5.870,0.684,K3III,1.326,Cen
4854,NaN,12.783974,5.950373,265.9574,6.310,-0.814,A0spe...,-0.013,Vir
4855,NaN,12.787123,11.958088,83.2639,6.110,1.508,A3V,0.122,Vir
4859,NaN,12.788594,62.781155,60.2773,5.880,1.979,A9V,0.215,UMa
4856,NaN,12.792618,-6.301752,70.0280,6.270,2.044,F7V,0.538,Vir
4863,NaN,12.792873,66.790304,227.2727,5.430,-1.353,K5III,1.567,Dra
4853,Becrux,12.795359,-59.688764,85.3971,1.250,-3.407,B0.5III,-0.238,Cru
4858,NaN,12.797614,3.572716,178.8909,6.420,0.157,M4III,1.596,Vir
4857,NaN,12.798236,-24.851659,226.7574,6.430,-0.348,B8V,-0.058,Hya
4861,NaN,12.803982,13.553018,125.7862,6.470,0.972,A1V,0.015,Com
4860,NaN,12.807297,-27.597384,98.2318,5.650,0.689,G8III,0.947,Hya
4867,NaN,12.810944,60.319822,24.0442,5.830,3.925,F5V,0.467,UMa
4866,NaN,12.811617,48.466838,137.5516,6.250,0.558,A6m,0.195,CVn
4864,NaN,12.813075,24.840226,16.9319,6.290,5.146,G7V,0.703,Com
4865,NaN,12.815059,14.122584,122.3990,5.710,0.271,A1V,0.024,Com
4892,NaN,12.818550,83.417832,123.0012,5.920,0.470,A0V,0.015,Cam
4893,NaN,12.820496,83.412901,178.8909,5.380,-0.883,A1IIIsh,0.033,Cam
4869,NaN,12.821516,27.552379,92.9368,5.760,0.919,A2V,0.051,Com
4862,NaN,12.829154,-71.986260,143.2665,5.550,-0.231,G8Ib/II,1.154,Mus
4875,NaN,12.836321,37.516937,109.7695,5.870,0.668,A3V,0.170,CVn
4868,NaN,12.836614,-60.400528,520.8333,6.730,-1.853,A5II,0.348,Cru
4873,NaN,12.838136,22.863408,108.4599,6.430,1.254,K0III,1.002,Com
4871,NaN,12.838750,-48.459543,187.6173,6.260,-0.106,A0V,0.046,Cen
4874,NaN,12.844769,-33.999302,122.6994,4.900,-0.544,B9V,-0.031,Cen
4872,NaN,12.849413,-52.787424,101.8330,5.700,0.661,A5V,0.127,Cen
4876,NaN,12.854994,-60.329789,100000.0000,5.710,-14.290,A2Iab,0.344,Cru
4877,NaN,12.856369,-10.338219,156.0062,6.480,0.514,G8III,1.030,Vir
4878,NaN,12.860247,3.056788,183.4862,6.020,-0.298,K4III:,1.288,Vir
4883,NaN,12.861645,27.540712,89.1266,4.930,0.180,G0III,0.681,Com
4879,NaN,12.865815,-39.680431,142.8571,5.990,0.215,B7/B8V,-0.098,Cen
4881,NaN,12.866084,-26.738275,66.9792,6.140,2.010,A0III,0.232,Hya
4880,NaN,12.868179,-48.094286,160.5136,6.310,0.282,A0IV,0.040,Cen
4884,NaN,12.870071,17.073943,598.8024,6.320,-2.566,M0III,1.622,Com
4882,NaN,12.873499,-53.829931,549.4505,6.260,-2.440,G8Ib/II,1.106,Cen
4886,NaN,12.874305,16.122495,110.6195,6.290,1.071,A7V,0.173,Com
4885,NaN,12.884502,-54.952473,126.7427,5.910,0.395,K3III,1.309,Cen
4888,NaN,12.885258,-48.943315,90.2527,4.330,-0.447,K3/K4III,1.344,Cen
4891,NaN,12.886433,-3.553098,32.7332,6.110,3.535,F5V,0.493,Vir
4894,NaN,12.888263,21.244943,86.8056,4.890,0.197,G8III,0.904,Com
4887,NaN,12.889416,-60.328489,100000.0000,5.750,-14.250,B9Ia,0.295,Cru
4889,NaN,12.890607,-40.178872,45.5581,4.250,0.957,A4IV,0.224,Cen
4896,NaN,12.893923,-4.224662,98.9120,6.450,1.474,K0,1.094,Vir
4890,NaN,12.896923,-60.376244,100000.0000,5.890,-14.110,B5Ia,0.200,Cru
4900,NaN,12.897142,12.418416,60.9013,6.250,2.327,A7III,0.282,Vir
4905,Alioth,12.900472,55.959821,25.3100,1.760,-0.256,A0p,-0.022,UMa
4904,NaN,12.903638,33.534480,77.3994,6.250,1.806,A7IV,0.207,CVn
4901,NaN,12.905184,-11.648570,68.4932,6.000,1.822,A2V,0.068,Vir
4902,NaN,12.905879,-9.538994,166.9449,4.770,-1.343,M3IIIvar,1.590,Vir
4895,NaN,12.906112,-58.430613,699.3007,6.740,-2.483,F7Ib/II,0.550,Cru
4898,NaN,12.909900,-57.177924,127.0648,4.030,-1.490,B2IV-V,-0.180,Cru
4899,NaN,12.910251,-57.168670,124.8439,5.080,-0.402,B5Vne,-0.089,Cru
4897,NaN,12.910889,-59.146701,117.6471,4.620,-0.733,B4Vn,-0.153,Cru
4909,NaN,12.915702,47.196722,213.2196,5.750,-0.894,M5III,1.451,CVn
