hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8201,N/A,21.555856,-80.039361,116.8224,6.470,1.132,A0V,"rgb(216, 173, 0)",Oct
8236,N/A,21.556534,-44.848700,200.4008,5.570,-0.939,K0III,"rgb(255, 175, 193)",Gru
8176,N/A,21.565135,-82.683084,217.3913,6.350,-0.336,B3IV,"rgb(221, 175, 0)",Oct
8252,N/A,21.566350,45.591837,37.8931,3.980,1.087,G8III,"rgb(255, 179, 207)",Cyg
8241,N/A,21.571434,-42.924679,114.5475,6.320,1.025,K1IIICN...,"rgb(255, 174, 189)",Gru
8259,N/A,21.574295,51.698465,408.1633,6.170,-1.884,B9III,"rgb(206, 168, 0)",Cyg
8250,N/A,21.576104,22.754521,63.2511,6.450,2.445,F7V,"rgb(255, 189, 242)",Peg
8255,N/A,21.579596,38.534054,70.9723,4.870,0.615,K1III,"rgb(255, 174, 190)",Cyg
8245,N/A,21.580848,-20.084274,27.1003,5.700,3.535,F5V,"rgb(255, 191, 252)",Cap
8244,N/A,21.581389,-29.696117,364.9635,6.420,-1.391,B8IIIw,"rgb(191, 158, 0)",PsA
8247,N/A,21.587765,-23.454313,111.9821,6.390,1.144,K1III,"rgb(255, 173, 189)",Cap
8251,N/A,21.588228,-3.983305,128.2051,5.790,0.250,G9III:,"rgb(255, 173, 188)",Aqr
8257,N/A,21.588640,28.197607,71.1238,6.250,1.990,F0IV,"rgb(250, 189, 0)",Peg
8258,N/A,21.590843,24.452161,197.6285,6.220,-0.259,A4V,"rgb(226, 178, 0)",Peg
8262,N/A,21.600689,45.374591,174.8252,5.960,-0.253,M4IIIe-M6e,"rgb(255, 167, 171)",Cyg
8253,N/A,21.603046,-26.171516,58.4454,5.730,1.896,A7/A8IV,"rgb(237, 183, 0)",PsA
8261,N/A,21.603885,30.055422,110.8647,6.360,1.136,G8III-IV,"rgb(255, 170, 178)",Cyg
8256,N/A,21.613553,-33.047896,73.9098,6.100,1.756,A5V,"rgb(236, 182, 0)",PsA
8266,N/A,21.615827,40.413521,65.8328,5.040,0.948,A5V,"rgb(233, 181, 0)",Cyg
8260,N/A,21.618008,-19.466011,323.6246,4.510,-3.040,B3V:p,"rgb(178, 150, 0)",Cap
8272,N/A,21.624410,44.696550,168.9189,6.190,0.052,A7III,"rgb(235, 182, 0)",Cyg
8263,N/A,21.626044,-0.390562,112.8668,6.220,0.957,A2V,"rgb(217, 173, 0)",Aqr
8275,N/A,21.627447,54.042192,165.0165,6.160,0.072,K1III,"rgb(255, 176, 197)",Cyg
8265,N/A,21.628643,6.629052,145.3488,7.660,1.848,F2V,"rgb(251, 190, 0)",Peg
8265,N/A,21.628790,6.618391,87.6424,6.190,1.476,A2V,"rgb(216, 173, 0)",Peg
8264,N/A,21.629197,-7.854201,54.7645,4.680,0.988,A7V,"rgb(230, 180, 0)",Aqr
8267,N/A,21.629285,19.318607,98.4252,5.460,0.494,F1IV,"rgb(246, 187, 0)",Peg
8279,N/A,21.632007,62.081940,100000.0000,4.760,-15.240,B2Ib,"rgb(238, 183, 0)",Cep
8249,N/A,21.634118,-64.824167,180.5054,6.220,-0.062,A0/A1IV,"rgb(213, 171, 0)",Ind
8270,N/A,21.642205,5.771742,54.7046,5.660,1.970,A9IV-Vn,"rgb(240, 184, 0)",Peg
8274,N/A,21.645878,25.498829,129.3661,6.180,0.621,G9III,"rgb(255, 175, 195)",Peg
8234,N/A,21.648943,-79.442583,64.4330,6.170,2.124,F4IV,"rgb(255, 190, 248)",Oct
8281,N/A,21.649339,57.489037,606.0606,5.740,-3.173,O6 (f),"rgb(233, 181, 0)",Cep
8276,N/A,21.650329,20.265451,39.7456,5.770,2.774,F2V,"rgb(245, 187, 0)",Peg
8268,N/A,21.651697,-33.678856,44.9640,6.280,3.016,G8IV,"rgb(255, 177, 201)",PsA
